step,q,iangle,r1,velocity_scale,chisq
310,1.26793,52.8423,0.125287,537.351,170.667
311,1.26793,52.8423,0.125287,537.351,170.667
312,1.25175,50.3462,0.126388,538.994,172.3
313,1.25175,50.3462,0.126388,538.994,172.3
314,1.17324,48.4498,0.137728,541.185,171.694
315,1.14673,47.7182,0.139651,525.981,172.266
316,1.14673,47.7182,0.139651,525.981,172.266
317,1.14673,47.7182,0.139651,525.981,172.266
318,1.17168,46.6702,0.137682,533.143,171.661
319,1.17168,46.6702,0.137682,533.143,171.661
320,1.17168,46.6702,0.137682,533.143,171.661
321,1.17168,46.6702,0.137682,533.143,171.661
322,1.17168,46.6702,0.137682,533.143,171.661
323,1.22024,46.7023,0.136316,533.066,171.495
324,1.22024,46.7023,0.136316,533.066,171.495
325,1.20501,46.4672,0.138185,531.808,171.837
326,1.20501,46.4672,0.138185,531.808,171.837
327,1.20501,46.4672,0.138185,531.808,171.837
328,1.20501,46.4672,0.138185,531.808,171.837
329,1.23658,43.8077,0.140961,523.831,172.351
330,1.23658,43.8077,0.140961,523.831,172.351
331,1.23658,43.8077,0.140961,523.831,172.351
332,1.23658,43.8077,0.140961,523.831,172.351
333,1.25624,43.8667,0.135374,519.046,173.975
334,1.25624,43.8667,0.135374,519.046,173.975
335,1.25624,43.8667,0.135374,519.046,173.975
336,1.25624,43.8667,0.135374,519.046,173.975
337,1.25624,43.8667,0.135374,519.046,173.975
338,1.25624,43.8667,0.135374,519.046,173.975
339,1.25624,43.8667,0.135374,519.046,173.975
340,1.25624,43.8667,0.135374,519.046,173.975
341,1.25624,43.8667,0.135374,519.046,173.975
342,1.23674,41.815,0.143991,528.697,172.382
343,1.23674,41.815,0.143991,528.697,172.382
344,1.23674,41.815,0.143991,528.697,172.382
345,1.23674,41.815,0.143991,528.697,172.382
346,1.23674,41.815,0.143991,528.697,172.382
347,1.28944,42.0017,0.13689,536.629,174.281
348,1.28944,42.0017,0.13689,536.629,174.281
349,1.28944,42.0017,0.13689,536.629,174.281
350,1.28944,42.0017,0.13689,536.629,174.281
351,1.28944,42.0017,0.13689,536.629,174.281
352,1.23921,42.846,0.139156,530.288,172.874
353,1.23921,42.846,0.139156,530.288,172.874
354,1.2726,43.6534,0.135557,525.043,173.383
355,1.30538,43.7791,0.134634,532.216,172.855
356,1.30538,43.7791,0.134634,532.216,172.855
357,1.30538,43.7791,0.134634,532.216,172.855
358,1.30538,43.7791,0.134634,532.216,172.855
359,1.30538,43.7791,0.134634,532.216,172.855
360,1.30538,43.7791,0.134634,532.216,172.855
361,1.30811,44.5913,0.135213,546.791,171.683
362,1.30811,44.5913,0.135213,546.791,171.683
363,1.30811,44.5913,0.135213,546.791,171.683
364,1.30811,44.5913,0.135213,546.791,171.683
365,1.30811,44.5913,0.135213,546.791,171.683
366,1.30811,44.5913,0.135213,546.791,171.683
367,1.30811,44.5913,0.135213,546.791,171.683
368,1.30811,44.5913,0.135213,546.791,171.683
369,1.30811,44.5913,0.135213,546.791,171.683
370,1.30811,44.5913,0.135213,546.791,171.683
371,1.30811,44.5913,0.135213,546.791,171.683
372,1.30811,44.5913,0.135213,546.791,171.683
373,1.30811,44.5913,0.135213,546.791,171.683
374,1.30811,44.5913,0.135213,546.791,171.683
375,1.30811,44.5913,0.135213,546.791,171.683
376,1.30811,44.5913,0.135213,546.791,171.683
377,1.30811,44.5913,0.135213,546.791,171.683
378,1.30811,44.5913,0.135213,546.791,171.683
379,1.30811,44.5913,0.135213,546.791,171.683
380,1.30811,44.5913,0.135213,546.791,171.683
381,1.30811,44.5913,0.135213,546.791,171.683
382,1.30811,44.5913,0.135213,546.791,171.683
383,1.30811,44.5913,0.135213,546.791,171.683
384,1.33224,44.5573,0.13233,552.165,172.775
385,1.36221,43.5723,0.139366,548.914,173.371
386,1.36221,43.5723,0.139366,548.914,173.371
387,1.38649,42.9267,0.135349,550.374,171.511
388,1.38649,42.9267,0.135349,550.374,171.511
389,1.38649,42.9267,0.135349,550.374,171.511
390,1.38649,42.9267,0.135349,550.374,171.511
391,1.38649,42.9267,0.135349,550.374,171.511
392,1.38649,42.9267,0.135349,550.374,171.511
393,1.38649,42.9267,0.135349,550.374,171.511
394,1.39621,42.3046,0.135819,558.24,171.715
395,1.33353,42.7545,0.130289,572.747,179.127
396,1.33353,42.7545,0.130289,572.747,179.127
397,1.36169,43.3424,0.13992,580.981,173.294
398,1.28804,43.8061,0.14343,580.769,175.851
399,1.31467,42.5148,0.141296,578.82,172.184
400,1.30122,41.1577,0.140876,578.492,172.089
401,1.33282,41.6212,0.144439,572.002,173.708
402,1.33282,41.6212,0.144439,572.002,173.708
403,1.33282,41.6212,0.144439,572.002,173.708
404,1.33282,41.6212,0.144439,572.002,173.708
405,1.30842,42.1225,0.145004,555.378,175.152
406,1.30842,42.1225,0.145004,555.378,175.152
407,1.32564,40.6494,0.139739,562.511,172.952
408,1.32564,40.6494,0.139739,562.511,172.952
409,1.32564,40.6494,0.139739,562.511,172.952
410,1.32564,40.6494,0.139739,562.511,172.952
411,1.3458,42.2898,0.141399,564.093,172.813
412,1.3458,42.2898,0.141399,564.093,172.813
413,1.3458,42.2898,0.141399,564.093,172.813
414,1.3458,42.2898,0.141399,564.093,172.813
415,1.32421,43.6871,0.138979,540.257,172.22
416,1.35846,45.6252,0.128353,540.709,173.916
417,1.44899,44.9246,0.132511,530.448,171.706
418,1.47774,46.8576,0.127694,525.832,170.978
419,1.47774,46.8576,0.127694,525.832,170.978
420,1.47774,46.8576,0.127694,525.832,170.978
421,1.44408,47.5006,0.128528,503.841,171.397
422,1.44408,47.5006,0.128528,503.841,171.397
423,1.44408,47.5006,0.128528,503.841,171.397
424,1.44408,47.5006,0.128528,503.841,171.397
425,1.44408,47.5006,0.128528,503.841,171.397
426,1.44408,47.5006,0.128528,503.841,171.397
427,1.44408,47.5006,0.128528,503.841,171.397
428,1.37311,46.3843,0.128828,500.73,172.232
429,1.37311,46.3843,0.128828,500.73,172.232
430,1.37311,46.3843,0.128828,500.73,172.232
431,1.39161,47.1668,0.127491,507.762,171.918
432,1.39161,47.1668,0.127491,507.762,171.918
433,1.39161,47.1668,0.127491,507.762,171.918
434,1.39161,47.1668,0.127491,507.762,171.918
435,1.39161,47.1668,0.127491,507.762,171.918
436,1.39161,47.1668,0.127491,507.762,171.918
437,1.37798,47.4186,0.131379,498.891,172.006
438,1.37798,47.4186,0.131379,498.891,172.006
439,1.37798,47.4186,0.131379,498.891,172.006
440,1.37798,47.4186,0.131379,498.891,172.006
441,1.37798,47.4186,0.131379,498.891,172.006
442,1.37798,47.4186,0.131379,498.891,172.006
443,1.37798,47.4186,0.131379,498.891,172.006
444,1.36098,49.208,0.128483,499.229,170.963
445,1.36098,49.208,0.128483,499.229,170.963
446,1.36098,49.208,0.128483,499.229,170.963
447,1.41142,49.2141,0.129041,479.845,172.436
448,1.41142,49.2141,0.129041,479.845,172.436
449,1.41142,49.2141,0.129041,479.845,172.436
450,1.41142,49.2141,0.129041,479.845,172.436
451,1.41142,49.2141,0.129041,479.845,172.436
452,1.41142,49.2141,0.129041,479.845,172.436
453,1.41142,49.2141,0.129041,479.845,172.436
